state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
MN,79,0,1,32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2,0
NV,89,0,0,0,134.9,59,22.93,156,152,13.26,197.5,112,8.89,10.2,5,2.75,1,0
CA,120,0,0,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7,13.8,3,3.73,1,0
UT,121,0,1,41,215.5,95,36.64,241.8,92,20.55,147,108,6.61,9.6,3,2.59,1,0
IL,101,0,0,0,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62,0,0
DC,115,0,0,0,178.7,114,30.38,271,96,23.04,245.9,94,11.07,16.4,5,4.43,2,0
IN,168,0,0,0,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,2,0
NM,90,0,0,0,167.5,96,28.48,139.1,104,11.82,138.4,87,6.23,13,1,3.51,1,0
MS,70,0,0,0,147.1,105,25.01,200,135,17,234.9,65,10.57,12.5,9,3.38,3,0
VT,138,0,0,0,230.1,107,39.12,212,120,18.02,174.9,119,7.87,13.2,4,3.56,1,0
VT,43,0,0,0,135.8,125,23.09,163.2,88,13.87,229.8,106,10.34,12.6,3,3.4,0,0
UT,117,0,1,20,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35,2,0
KY,108,0,0,0,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94,2,0
VA,118,0,0,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10,1,2.7,2,0
OH,169,0,0,0,147.2,115,25.02,161.9,123,13.76,142.1,103,6.39,7.2,6,1.94,3,0
AZ,62,0,1,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,0
NY,86,0,0,0,70.7,125,12.02,211,113,17.94,174.6,107,7.86,0,0,0,2,0
VA,44,0,0,0,204.6,117,34.78,205.2,94,17.44,164.6,84,7.41,10.7,5,2.89,0,0
MA,127,0,1,19,129.7,115,22.05,160.8,101,13.67,265,63,11.93,12.2,3,3.29,2,0
IL,151,1,0,0,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35,0,0
LA,53,0,0,0,145.1,116,24.67,233.7,82,19.86,208.7,95,9.39,7.9,5,2.13,2,0
MO,15,0,0,0,135.2,101,22.98,152.5,79,12.96,224.8,83,10.12,8.4,5,2.27,2,0
DC,123,0,1,28,124.7,105,21.2,250.4,78,21.28,216.4,128,9.74,7.8,8,2.11,1,0
PA,137,0,0,0,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27,1,0
TN,106,0,0,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2,0
NJ,88,0,0,0,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,3,0
VA,106,0,0,0,235.2,121,39.98,220.6,87,18.75,236.3,91,10.63,11.8,4,3.19,1,0
TN,95,0,0,0,174,57,29.58,281.1,118,23.89,197.2,94,8.87,9.7,2,2.62,0,0
WA,184,0,0,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,2,0
AR,109,0,0,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,3,0
WI,127,0,0,0,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,2,0
WA,82,0,0,0,265.2,122,45.08,178.7,102,15.19,174.7,90,7.86,10.7,9,2.89,2,0
RI,180,0,0,0,143.3,134,24.36,180.5,113,15.34,184.2,87,8.29,10.1,4,2.73,1,0
ME,174,0,0,0,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94,2,0
CO,81,0,0,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18,2,4.86,1,0
NC,122,0,0,0,215.6,86,36.65,167.8,59,14.26,207,67,9.32,6.4,8,1.73,3,0
WY,34,0,0,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14,7,3.78,1,0
FL,90,0,1,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1,0
KY,73,0,0,0,94.9,121,16.13,253.2,83,21.52,175.1,86,7.88,14.2,2,3.83,2,0
WA,120,0,1,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1,0
MT,160,0,0,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3,0
PA,141,0,0,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,0,0
MA,90,0,0,0,157.9,72,26.84,234,93,19.89,210,86,9.45,12.2,5,3.29,2,0
VT,72,0,0,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,2,0
MN,117,0,1,21,153.2,112,26.04,263.3,110,22.38,135,85,6.08,11.9,7,3.21,1,0
IL,79,1,0,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2,0
AR,87,0,0,0,185.8,119,31.59,192.3,83,16.35,200,96,9,6.6,4,1.78,1,0
MD,102,0,0,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1,0
MT,49,0,0,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1,0
VT,67,0,0,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10,2,2.7,6,0
CO,107,0,0,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2,0
NC,190,0,0,0,182.2,101,30.97,212.3,95,18.05,233,123,10.49,9.3,4,2.51,2,0
WA,118,0,0,0,113,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2,0
TN,120,0,0,0,185.7,133,31.57,235.1,149,19.98,256.4,78,11.54,16.9,6,4.56,0,0
AR,94,0,0,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0,0
DC,115,0,1,29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11,1,0
MN,61,0,0,0,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9,6,2.43,1,0
IA,143,0,1,33,141.4,130,24.04,186.4,114,15.84,210,111,9.45,7.7,6,2.08,1,0
KS,110,0,0,0,208,69,35.36,95.1,94,8.08,178.5,129,8.03,8,11,2.16,1,0
ND,104,0,0,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,0
MT,16,0,0,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1,0
IL,183,0,0,0,108.3,87,18.41,183.6,116,15.61,176.6,109,7.95,13.5,2,3.65,0,0
DC,147,0,0,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2,0
MS,102,1,0,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12,8,3.24,3,0
TN,123,0,0,0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3,0
IA,64,0,1,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1,0
AK,103,0,0,0,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11,2,0
OR,97,0,0,0,146,121,24.82,203,141,17.26,151.8,120,6.83,13.3,2,3.59,1,0
ME,57,0,1,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3,2,0
MN,157,0,0,0,185.1,92,31.47,213,85,18.11,196.1,85,8.82,8.5,5,2.3,2,0
GA,194,0,0,0,193.3,106,32.86,169,150,14.37,225.2,122,10.13,11.8,4,3.19,0,0
DC,66,0,0,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,1,0
GA,155,0,0,0,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0,0
OK,116,0,0,0,205,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2,0
OK,63,0,0,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1,0
GA,64,0,0,0,216.9,78,36.87,211,115,17.94,179.8,116,8.09,11.4,5,3.08,3,0
NJ,96,0,0,0,150,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3,0
MN,53,0,0,0,164.1,106,27.9,206,56,17.51,194.7,124,8.76,11.4,2,3.08,1,0
ME,105,0,0,0,212,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3,0
MI,53,0,1,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12,9,3.24,2,0
MT,101,0,0,0,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75,1,0
NE,129,0,1,30,177.3,95,30.14,211.8,102,18,240.2,108,10.81,9.3,7,2.51,3,0
VA,163,0,0,0,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46,5,0
VT,93,0,0,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0,0
DC,73,0,0,0,122,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1,0
ND,120,0,0,0,177.2,88,30.12,270.4,99,22.98,231.5,90,10.42,14,2,3.78,2,0
TN,196,0,0,0,133.1,80,22.63,206.5,120,17.55,221.6,96,9.97,10.3,8,2.78,1,0
NY,148,0,0,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,0
AL,85,0,1,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,0
MS,78,0,1,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,0
MD,106,0,0,0,208.3,89,35.41,169.4,67,14.4,102,90,4.59,15.9,4,4.29,3,0
NE,147,0,1,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2,0
IL,91,0,0,0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,3,0
IN,81,0,1,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,0
UT,116,0,1,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,0
LA,69,0,1,37,155,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1,0
ID,135,0,0,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,0
KY,73,0,0,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,2,0
MI,48,0,0,0,240,88,40.8,141,117,11.99,128.9,137,5.8,7.1,9,1.92,1,0
WV,100,0,0,0,166,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1,0
OR,165,0,1,33,111.6,140,18.97,213.3,111,18.13,267.6,115,12.04,16,3,4.32,0,0
SD,64,0,0,0,174.5,98,29.67,180.2,103,15.32,179,89,8.06,10.7,2,2.89,2,0
MD,116,1,1,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1,0
TN,115,0,0,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11,7,2.97,1,0
MO,84,0,1,35,207.5,138,35.28,201,116,17.09,164.5,107,7.4,7.5,16,2.03,4,0
IL,86,0,1,16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,4,0
UT,134,0,0,0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0
AR,88,0,0,0,152.9,119,25.99,171.2,107,14.55,257,106,11.57,12,5,3.24,2,0
TX,90,0,1,27,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,0
AK,86,0,0,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,1,0
TN,37,0,0,0,221,126,37.57,204.5,110,17.38,118,98,5.31,6.8,3,1.84,4,0
NM,148,0,0,0,153.6,148,26.11,262.1,87,22.28,225.5,99,10.15,9.8,3,2.65,2,0
MN,163,0,1,22,215.1,91,36.57,138.9,102,11.81,146.2,109,6.58,12.4,2,3.35,2,0
IA,89,0,1,35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1,0
RI,63,0,0,0,180.5,126,30.69,230,98,19.55,232.5,73,10.46,10.6,3,2.86,0,0
AL,102,0,0,0,123.1,106,20.93,182,102,15.47,244.6,75,11.01,12.6,7,3.4,2,0
NC,76,0,0,0,165.7,94,28.17,257.4,80,21.88,170.8,114,7.69,10,4,2.7,1,0
SD,104,0,0,0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6,6,1.62,2,0
MT,109,0,0,0,154.8,82,26.32,287.7,109,24.45,208.4,80,9.38,5.9,9,1.59,3,0
HI,105,0,0,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2,0
MT,63,0,1,33,184.2,111,31.31,312.6,89,26.57,264,55,11.88,12.2,4,3.29,1,0
KY,105,0,1,24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3,0
DC,68,1,1,39,142,140,24.14,241.6,89,20.54,302,72,13.59,11.3,5,3.05,1,0
CO,63,1,1,21,151.5,99,25.76,147.8,89,12.56,210.4,114,9.47,10,4,2.7,1,0
MI,74,0,0,0,124.8,114,21.22,133,121,11.31,160.3,85,7.21,10.6,7,2.86,3,0
AL,76,0,0,0,179.2,85,30.46,222.9,66,18.95,188.2,113,8.47,12.4,2,3.35,0,0
NC,101,0,0,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,5,0
CO,131,0,1,23,170.8,145,29.04,236.7,93,20.12,294.5,100,13.25,12.7,1,3.43,1,0
MN,84,0,0,0,216.1,114,36.74,197.5,107,16.79,217.8,104,9.8,9.8,3,2.65,1,0
WY,104,0,0,0,138.7,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,2,0
FL,108,0,0,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,0
NY,111,0,0,0,181.8,117,30.91,158.1,91,13.44,266.2,123,11.98,9.7,9,2.62,0,0
OK,155,0,1,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,0
ME,66,0,0,0,207.7,85,35.31,196.7,112,16.72,261.7,83,11.78,6.8,3,1.84,1,0
NE,64,0,0,0,219.2,73,37.26,167,65,14.2,161.4,119,7.26,10,5,2.7,1,0
OH,69,0,0,0,227,122,38.59,258.7,111,21.99,169.7,87,7.64,8.9,1,2.4,2,0
CT,116,0,0,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,8.9,5,2.4,3,0
DC,101,0,0,0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,0,0
OK,15,0,0,0,121.1,130,20.59,216,86,18.36,235.1,33,10.58,16.1,5,4.35,2,0
IA,197,0,0,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,9.5,3,2.57,0,0
VA,172,0,0,0,169.8,123,28.87,183.1,94,15.56,395,72,17.77,12.7,7,3.43,2,0
FL,85,1,0,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3,0
NJ,136,0,1,27,187.7,84,31.91,221,147,18.79,145.7,110,6.56,10,4,2.7,3,0
NE,155,0,1,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0,0
WV,145,0,0,0,129.4,97,22,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2,0
WY,116,0,1,12,221,108,37.57,151,118,12.84,179,80,8.06,9,6,2.43,2,0
SC,152,0,0,0,140.5,92,23.89,186.8,96,15.88,227,89,10.22,9.5,5,2.57,2,0
IL,67,0,0,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,0
OR,60,0,0,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0,0
UT,138,0,0,0,205.9,96,35,257.1,94,21.85,209,63,9.4,12.1,8,3.27,0,0
ME,25,0,0,0,242.6,69,41.24,209,117,17.77,219.7,82,9.89,14.4,6,3.89,2,0
WY,145,0,0,0,229.6,82,39.03,138.1,103,11.74,250.8,109,11.29,3.3,3,0.89,1,0
WI,122,0,1,28,166,62,28.22,233.9,88,19.88,170.1,84,7.65,7.7,3,2.08,2,0
DC,55,1,0,0,106.1,77,18.04,123.5,100,10.5,96.4,92,4.34,12.9,3,3.48,0,0
CT,77,0,0,0,221.8,84,37.71,166,125,14.11,210.2,72,9.46,13.2,4,3.56,1,0
OR,12,0,0,0,204.6,98,34.78,212.5,90,18.06,182.1,95,8.19,9.8,7,2.65,2,0
OR,64,0,0,0,213.5,93,36.3,166.6,114,14.16,122,78,5.49,14.1,3,3.81,3,0
NV,92,0,1,44,152,95,25.84,274.9,73,23.37,162.4,121,7.31,10,1,2.7,2,0
OK,160,0,0,0,166.4,117,28.29,317,129,26.95,160.4,121,7.22,10,2,2.7,1,0
KS,79,0,0,0,177.9,83,30.24,167.3,84,14.22,223.7,142,10.07,15.2,8,4.1,0,0
RI,36,0,0,0,235.1,97,39.97,196.8,104,16.73,259.7,110,11.69,7,7,1.89,3,0
DC,102,0,0,0,186.8,92,31.76,173.7,123,14.76,250.9,131,11.29,9.7,4,2.62,2,0
IL,138,1,0,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,11.6,4,3.13,1,0
UT,164,0,0,0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,7.3,3,1.97,3,0
WI,72,0,0,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,0
MI,134,0,1,41,162,82,27.54,324.7,77,27.6,160.1,112,7.2,11.9,5,3.21,0,0
MA,145,0,0,0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1,0
AL,136,0,0,0,109.4,91,18.6,207.5,111,17.64,135,107,6.08,11.6,5,3.13,0,0
WI,66,1,0,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,8.3,3,2.24,3,0
VT,152,0,1,20,214.6,108,36.48,96.6,82,8.21,170.7,145,7.68,7.9,5,2.13,1,0
CT,162,0,0,0,49.2,121,8.36,143.9,136,12.23,203,97,9.14,12.1,13,3.27,1,0
OR,72,0,0,0,141.3,133,24.02,134.9,96,11.47,227.5,97,10.24,11.2,3,3.02,2,0
HI,101,0,0,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,9.7,7,2.62,4,0
WV,125,0,0,0,206,128,35.02,198.1,71,16.84,135.9,116,6.12,13.2,3,3.56,0,0
RI,46,0,0,0,40.4,105,6.87,172.4,83,14.65,145.1,89,6.53,9,2,2.43,2,0
ME,193,0,1,31,71.2,58,12.1,124.7,105,10.6,155.5,108,7,11.7,3,3.16,0,0
NE,124,0,0,0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10,3,2.7,1,0
DC,144,0,0,0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0,0
NH,116,0,1,24,183.6,138,31.21,203.8,90,17.32,166.9,89,7.51,6,3,1.62,2,0
MD,189,0,1,30,155.2,116,26.38,195.5,50,16.62,170.1,108,7.65,15.4,6,4.16,1,0
NH,97,0,1,28,283.1,93,48.13,185.4,98,15.76,312.8,78,14.08,6.1,8,1.65,1,0
WV,137,0,1,50,186.5,94,31.71,178,106,15.13,215.6,100,9.7,12.1,4,3.27,2,0
IL,142,0,1,38,163.3,104,27.76,136,114,11.56,249.1,127,11.21,4.3,6,1.16,0,0
OK,84,0,0,0,203.4,125,34.58,182.9,88,15.55,213.7,121,9.62,13.8,2,3.73,1,0
NH,119,0,1,19,178.1,110,30.28,212.8,100,18.09,226.3,123,10.18,10,6,2.7,1,0
MI,158,0,0,0,195.9,103,33.3,89.1,95,7.57,302.2,82,13.6,10.3,3,2.78,1,0
ND,50,0,0,0,295.3,127,50.2,127.4,100,10.83,166.8,105,7.51,9.6,6,2.59,1,0
LA,98,0,0,0,136.1,82,23.14,156.3,118,13.29,158.8,83,7.15,10.1,5,2.73,2,0
HI,101,0,1,24,114.1,95,19.4,161.5,86,13.73,176.3,90,7.93,13,9,3.51,2,0
WV,51,0,0,0,169.3,111,28.78,139.5,69,11.86,197,87,8.87,12,3,3.24,0,0
NC,117,0,0,0,214.4,94,36.45,138,149,11.73,148.7,102,6.69,9.9,1,2.67,2,0
PA,92,1,0,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,11.7,3,3.16,0,0
MI,86,0,0,0,148.2,71,25.19,285.1,91,24.23,166.4,155,7.49,6.2,3,1.67,2,0
WY,122,0,0,0,119.3,93,20.28,223.9,103,19.03,211.9,122,9.54,8.7,4,2.35,2,0
NJ,156,0,1,27,192.3,137,32.69,199.9,115,16.99,244.2,112,10.99,14.8,8,4,1,0
NM,158,0,0,0,172.4,114,29.31,256.6,69,21.81,235.3,104,10.59,0,0,0,2,0
MS,145,1,1,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3,1,0
OK,127,0,1,27,2.6,113,0.44,254,102,21.59,242.7,156,10.92,9.2,5,2.48,3,0
ID,109,0,0,0,184.1,143,31.3,211.7,105,17.99,243,116,10.93,9.9,2,2.67,1,0
AL,88,0,0,0,181.9,90,30.92,151.5,87,12.88,143,100,6.44,7.5,3,2.03,1,0
WY,101,0,1,9,160.1,116,27.22,210,121,17.85,139.1,65,6.26,10.8,9,2.92,0,0
HI,171,0,0,0,189.8,122,32.27,173.7,85,14.76,257.1,84,11.57,10.3,1,2.78,0,0
VA,21,0,0,0,223.2,142,37.94,216.5,114,18.4,214.7,111,9.66,12.4,2,3.35,1,0
WV,145,0,1,31,216,94,36.72,225.1,123,19.13,234.7,109,10.56,10.7,1,2.89,2,0
DE,90,0,0,0,198.5,124,33.75,266.6,100,22.66,243.3,80,10.95,8,7,2.16,2,0
CA,33,0,0,0,159.5,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,1.92,1,0
CO,107,0,0,0,204.5,108,34.77,162.4,110,13.8,155,102,6.98,13.4,1,3.62,3,0
AL,117,0,0,0,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2,0
AL,95,0,0,0,229.9,116,39.08,202.4,110,17.2,171.4,105,7.71,14.2,6,3.83,1,0
KS,186,0,0,0,137.8,97,23.43,187.7,118,15.95,146.4,85,6.59,8.7,6,2.35,1,0
MI,128,0,0,0,179.4,94,30.5,270.4,92,22.98,191,88,8.59,7.9,4,2.13,0,0
AK,55,0,1,39,139.3,101,23.68,178.3,117,15.16,246.5,104,11.09,8.1,1,2.19,3,0
OH,134,0,0,0,7.8,86,1.33,171.4,100,14.57,186.5,80,8.39,12.9,2,3.48,2,0
IN,96,0,1,23,183.1,88,31.13,147.4,89,12.53,350.2,108,15.76,11.3,7,3.05,1,0
SC,107,0,0,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0,0
KS,123,0,0,0,140,106,23.8,153.7,101,13.06,50.1,87,2.25,12.5,1,3.38,2,0
OK,35,0,0,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,0
WI,74,0,0,0,177.4,136,30.16,240.3,104,20.43,237.3,133,10.68,12,3,3.24,0,0
IN,130,0,0,0,115.6,129,19.65,167.8,104,14.26,141.8,124,6.38,12.6,9,3.4,1,0
TN,88,0,0,0,181.5,116,30.86,187,119,15.9,220.3,96,9.91,10.5,7,2.84,1,0
DC,80,0,0,0,51.5,90,8.76,164,98,13.94,169.4,80,7.62,9.5,4,2.57,3,0
NC,116,0,1,19,155.7,104,26.47,185.4,118,15.76,192.7,116,8.67,8.2,2,2.21,3,0
RI,123,0,1,23,245,88,41.65,265,105,22.53,239.7,108,10.79,14.9,3,4.02,2,0
MS,120,0,0,0,131.7,99,22.39,163.1,109,13.86,201.1,116,9.05,10.7,3,2.89,1,0
VA,146,1,0,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1,0
KY,106,0,1,9,88.5,100,15.05,324.8,109,27.61,79.9,86,3.6,8.2,4,2.21,3,0
NV,121,0,1,44,116,85,19.72,150.1,120,12.76,246.8,98,11.11,12,2,3.24,1,0
WI,137,0,0,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1,0
NH,84,0,1,30,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2,0
NE,67,0,1,31,175.2,68,29.78,199.2,73,16.93,219.8,99,9.89,13.2,6,3.56,1,0
WY,120,0,1,24,227.5,81,38.68,234.9,71,19.97,166.4,128,7.49,9,13,2.43,1,0
IN,130,0,1,30,185,117,31.45,249.5,141,21.21,157.8,103,7.1,7.4,7,2,0,0
WI,20,0,0,0,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,2,0
VT,68,0,0,0,158.8,119,27,211.8,105,18,198.1,101,8.91,10.3,3,2.78,1,0
CA,112,0,0,0,208.7,150,35.48,212.8,104,18.09,178.1,98,8.01,8.5,4,2.3,0,0
IN,77,0,0,0,185.9,95,31.6,212,98,18.02,282.3,81,12.7,11.3,4,3.05,3,0
SC,109,0,0,0,222.5,74,37.83,169.7,75,14.42,264.3,94,11.89,9,3,2.43,2,0
IN,108,0,0,0,201.1,101,34.19,170.7,86,14.51,237.4,113,10.68,11.6,3,3.13,3,0
IA,79,0,1,17,167.9,114,28.54,243.7,93,20.71,211.9,114,9.54,9.1,2,2.46,1,0
MS,78,0,0,0,87.7,74,14.91,214.8,58,18.26,201.3,147,9.06,10.8,6,2.92,1,0
MN,134,0,0,0,244.1,99,41.5,246.9,111,20.99,200,133,9,7.2,2,1.94,0,0
WA,47,0,1,27,165,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,0
MS,59,0,1,27,127.4,110,21.66,103.3,99,8.78,164.2,73,7.39,9.1,3,2.46,0,0
ID,151,0,0,0,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,0
NC,129,0,0,0,54.7,131,9.3,256.1,105,21.77,176.6,135,7.95,11.1,4,3,1,0
VA,107,0,1,27,283.4,104,48.18,224.1,152,19.05,241.3,63,10.86,14.4,7,3.89,2,0
MI,76,0,0,0,90.5,142,15.39,211.7,75,17.99,194.9,76,8.77,9.3,2,2.51,1,0
HI,24,0,0,0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0,0
NC,169,0,0,0,142.5,82,24.23,231.4,110,19.67,131.2,67,5.9,10,4,2.7,2,0
MN,30,0,0,0,54,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1,0
WV,70,0,0,0,214.8,87,36.52,131,114,11.14,216.9,104,9.76,9.4,3,2.54,3,0
HI,3,0,0,0,139,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4,0
MS,38,0,0,0,117.3,114,19.94,208.7,105,17.74,203.4,98,9.15,14.4,2,3.89,2,0
NY,104,0,0,0,264,108,44.88,132.2,75,11.24,177.7,91,8,10.6,8,2.86,3,0
LA,27,0,0,0,82.6,105,14.04,204,99,17.34,224.2,122,10.09,9.1,4,2.46,1,0
KS,166,1,1,28,175.8,126,29.89,253.6,76,21.56,128.5,72,5.78,11.4,5,3.08,1,0
MA,13,0,0,0,220.4,100,37.47,211.2,79,17.95,259.3,112,11.67,13.6,8,3.67,2,0
